,Path,Total_latency,Total_noise,Signal_noise_ratio
90,B->A->D,0.003674252101531199,1.8607879066217391e-06,25.520618189390596
91,B->D,0.0020629799961233487,1.1164727439730436e-06,27.680009795686054
92,B->F->D,0.004091393808818946,2.046866697283913e-06,25.074357571466308
93,B->F->E->C->A->D,0.011279551899302208,5.582363719865218e-06,20.69088607736071
94,B->F->E->C->D,0.008804964079090667,4.465890975892175e-06,21.66013030065086
95,B->F->E->D,0.007137211002161308,3.5354970225813046e-06,22.659474268912586
96,B->A->C->D->E,0.00785162591944587,3.907654603905652e-06,22.28145848803562
97,B->A->C->D->F->E,0.010994748714473555,5.396284929203043e-06,20.848271659617858
98,B->A->C->E,0.005911331649703164,2.9772606505947828e-06,23.45716306301888
99,B->A->D->C->E,0.0072472665274294955,3.7215758132434783e-06,22.510318232750784
100,B->A->D->E,0.005579513450500135,2.7911818599326087e-06,23.759705598833783
101,B->A->D->F->E,0.00872263624552782,4.2798121852300005e-06,21.85777660130812
102,B->D->A->C->E,0.008110582242233185,4.093733394567826e-06,22.064057614826496
103,B->D->C->E,0.005635994422021644,2.9772606505947828e-06,23.45716306301888
104,B->D->E,0.0039682413450922846,2.046866697283913e-06,25.074357571466308
105,B->D->F->E,0.00711136414011997,3.5354970225813046e-06,22.659474268912586
106,B->F->D->A->C->E,0.010138996054928783,5.024127347878696e-06,21.180616382347242
107,B->F->D->C->E,0.007664408234717242,3.907654603905652e-06,22.28145848803562
108,B->F->D->E,0.005996655157787883,2.9772606505947828e-06,23.45716306301888
109,B->F->E,0.005231949653192371,2.605103069270435e-06,23.959740826408414
110,B->A->C->D->E->F,0.010946095913630893,5.396284929203043e-06,20.848271659617858
111,B->A->C->D->F,0.007900278720288532,3.907654603905652e-06,22.28145848803562
